State,Year,Quarter,District,Registered_users,App_opens
tamil-nadu,2022,2,Thanjavur,470070,14935622
tamil-nadu,2022,2,Madurai,864806,22632794
tamil-nadu,2022,2,Tiruvannamalai,516276,33126041
tamil-nadu,2022,2,Salem,954155,35441956
tamil-nadu,2022,2,Nagapattinam,239174,11263032
tamil-nadu,2022,2,Tirupathur,334378,15520642
tamil-nadu,2022,2,Ariyalur,141760,9886229
tamil-nadu,2022,2,Chennai,2509588,9484073
tamil-nadu,2022,2,The Nilgiris,182412,13365582
tamil-nadu,2022,2,Erode,621587,20007565
tamil-nadu,2022,2,Karur,235178,21185242
tamil-nadu,2022,2,Kallakkurichi,324021,17183000
tamil-nadu,2022,2,Viluppuram,400301,18554839
tamil-nadu,2022,2,Pudukkottai,250443,28296586
tamil-nadu,2022,2,Perambalur,118807,8964011
tamil-nadu,2022,2,Coimbatore,1775760,32370054
tamil-nadu,2022,2,Virudhunagar,365515,20510885
tamil-nadu,2022,2,Dindigul,464161,33849388
tamil-nadu,2022,2,Sivaganga,254519,23366867
tamil-nadu,2022,2,Tenkasi,215290,11631764
tamil-nadu,2022,2,Chengalpattu,1704864,17802897
tamil-nadu,2022,2,Kanniyakumari,390775,5454833
tamil-nadu,2022,2,Tirunelveli,356993,15300245
tamil-nadu,2022,2,Thiruvallur,2075274,26026849
tamil-nadu,2022,2,Theni,258803,15309586
tamil-nadu,2022,2,Ranipet,343090,11686387
tamil-nadu,2022,2,Namakkal,421279,16353116
tamil-nadu,2022,2,Vellore,473994,13056808
tamil-nadu,2022,2,Thiruvarur,180074,10723137
tamil-nadu,2022,3,Tiruchirappalli,763327,26991002
tamil-nadu,2022,3,Ramanathapuram,233402,25202876
tamil-nadu,2022,3,Krishnagiri,862231,58865896
tamil-nadu,2022,3,Cuddalore,586020,19393232
tamil-nadu,2022,3,Kancheepuram,1284243,13738417
tamil-nadu,2022,3,Tiruppur,1128474,35519711
tamil-nadu,2022,3,Dharmapuri,450260,37905962
tamil-nadu,2022,3,Thoothukkudi,363372,25917848
tamil-nadu,2022,3,Thanjavur,494223,16319851
tamil-nadu,2022,3,Madurai,910111,25043694
tamil-nadu,2022,3,Tiruvannamalai,543589,41520495
tamil-nadu,2022,3,Salem,1005031,42989254
tamil-nadu,2022,3,Nagapattinam,251603,14208231
tamil-nadu,2022,3,Tirupathur,352443,18292108
tamil-nadu,2022,3,Ariyalur,149084,10805808
tamil-nadu,2022,3,Chennai,2635738,8736294
tamil-nadu,2022,3,The Nilgiris,191664,13756972
tamil-nadu,2022,3,Erode,654373,24140402
tamil-nadu,2022,3,Karur,247251,25004042
tamil-nadu,2022,3,Kallakkurichi,341416,20441688
tamil-nadu,2022,3,Viluppuram,421487,21647789
tamil-nadu,2022,3,Pudukkottai,262926,33814299
tamil-nadu,2022,3,Perambalur,124952,10607700
tamil-nadu,2022,3,Coimbatore,1867655,36137898
tamil-nadu,2022,3,Virudhunagar,384815,25858491
tamil-nadu,2022,3,Dindigul,488441,38288729
tamil-nadu,2022,3,Sivaganga,267326,29111159
tamil-nadu,2022,3,Tenkasi,226380,14369177
tamil-nadu,2022,3,Chengalpattu,1791530,18710626
tamil-nadu,2022,3,Kanniyakumari,411655,6596430
tamil-nadu,2022,3,Tirunelveli,375362,18623924
tamil-nadu,2022,3,Thiruvallur,2183990,29108780
tamil-nadu,2022,3,Theni,272745,18586327
tamil-nadu,2022,3,Ranipet,361284,13305109
tamil-nadu,2022,3,Namakkal,443273,19838171
tamil-nadu,2022,3,Vellore,499041,15140968
tamil-nadu,2022,3,Thiruvarur,189247,12198983
tamil-nadu,2022,4,Tiruchirappalli,798742,32716100
tamil-nadu,2022,4,Ramanathapuram,242901,11670114
tamil-nadu,2022,4,Krishnagiri,902906,74383349
tamil-nadu,2022,4,Cuddalore,612577,30099576
tamil-nadu,2022,4,Kancheepuram,1346845,64935793
tamil-nadu,2022,4,Tiruppur,1183174,67479751
tamil-nadu,2022,4,Dharmapuri,471109,34306151
tamil-nadu,2022,4,Thoothukkudi,378714,16378823
tamil-nadu,2022,4,Thanjavur,515959,21549397
tamil-nadu,2022,4,Madurai,953739,41569996
tamil-nadu,2022,4,Tiruvannamalai,567805,32921900
tamil-nadu,2022,4,Salem,1052099,59100611
tamil-nadu,2022,4,Nagapattinam,262020,11334862
tamil-nadu,2022,4,Tirupathur,369186,26050043
tamil-nadu,2022,4,Ariyalur,155220,7873071
tamil-nadu,2022,4,Chennai,2763151,90750262
tamil-nadu,2022,4,The Nilgiris,199839,10222030
tamil-nadu,2022,4,Erode,684126,31641358
tamil-nadu,2022,4,Karur,258049,13154773
tamil-nadu,2022,4,Kallakkurichi,356553,20960049
tamil-nadu,2022,4,Viluppuram,440319,23825795
tamil-nadu,2022,4,Pudukkottai,273282,13993977
tamil-nadu,2022,4,Perambalur,130138,6400251
tamil-nadu,2022,4,Coimbatore,1955681,95539371
tamil-nadu,2022,4,Virudhunagar,402140,18560145
tamil-nadu,2022,4,Dindigul,510056,29599663
tamil-nadu,2022,4,Sivaganga,278300,14398648
tamil-nadu,2022,4,Tenkasi,236123,11229723
tamil-nadu,2022,4,Chengalpattu,1876163,79404956
tamil-nadu,2022,4,Kanniyakumari,430646,16181824
tamil-nadu,2022,4,Tirunelveli,391902,17863624
tamil-nadu,2022,4,Thiruvallur,2290089,105152328
tamil-nadu,2022,4,Theni,285305,15287848
tamil-nadu,2022,4,Ranipet,378016,22294780
tamil-nadu,2022,4,Namakkal,463431,23754417
tamil-nadu,2022,4,Vellore,522921,28350601
tamil-nadu,2022,4,Thiruvarur,196886,8251663
tamil-nadu,2019,1,Tiruchirappalli,193798,0
tamil-nadu,2019,1,Ramanathapuram,49864,0
tamil-nadu,2019,1,Krishnagiri,212859,0
tamil-nadu,2019,1,Cuddalore,138966,0
tamil-nadu,2019,1,Kancheepuram,385091,0
tamil-nadu,2019,1,Tiruppur,273869,0
tamil-nadu,2019,1,Dharmapuri,111273,0
tamil-nadu,2019,1,Thoothukkudi,82778,0
tamil-nadu,2019,1,Thanjavur,113549,0
tamil-nadu,2019,1,Madurai,224783,0
tamil-nadu,2019,1,Tiruvannamalai,129411,0
tamil-nadu,2019,1,Salem,257624,0
tamil-nadu,2019,1,Nagapattinam,54318,0
tamil-nadu,2019,1,Tirupathur,81010,0
tamil-nadu,2019,1,Ariyalur,32852,0
tamil-nadu,2019,1,Chennai,830586,0
tamil-nadu,2019,1,The Nilgiris,41312,0
tamil-nadu,2019,1,Erode,157469,0
tamil-nadu,2019,1,Karur,58673,0
tamil-nadu,2019,1,Kallakkurichi,73253,0
tamil-nadu,2019,1,Viluppuram,100564,0
tamil-nadu,2019,1,Pudukkottai,55252,0
tamil-nadu,2019,1,Perambalur,27434,0
tamil-nadu,2019,1,Coimbatore,495350,0
tamil-nadu,2019,1,Virudhunagar,87060,0
tamil-nadu,2019,1,Dindigul,109937,0
tamil-nadu,2019,1,Sivaganga,57822,0
tamil-nadu,2019,1,Tenkasi,50065,0
tamil-nadu,2019,1,Chengalpattu,578045,0
tamil-nadu,2019,1,Kanniyakumari,87667,0
tamil-nadu,2019,1,Tirunelveli,85506,0
tamil-nadu,2019,1,Thiruvallur,625908,0
tamil-nadu,2019,1,Theni,60522,0
tamil-nadu,2019,1,Ranipet,93392,0
tamil-nadu,2019,1,Namakkal,112549,0
tamil-nadu,2019,1,Vellore,126690,0
tamil-nadu,2019,1,Thiruvarur,39202,0
tamil-nadu,2019,2,Tiruchirappalli,229886,888105
tamil-nadu,2019,2,Ramanathapuram,60663,222299
tamil-nadu,2019,2,Krishnagiri,252986,1223317
tamil-nadu,2019,2,Cuddalore,165183,567420
tamil-nadu,2019,2,Kancheepuram,447527,2383830
tamil-nadu,2019,2,Tiruppur,324350,1411179
tamil-nadu,2019,2,Dharmapuri,131769,588276
tamil-nadu,2019,2,Thoothukkudi,99080,336066
tamil-nadu,2019,2,Thanjavur,136597,477643
tamil-nadu,2019,2,Madurai,268420,1069867
tamil-nadu,2019,2,Tiruvannamalai,154806,594681
tamil-nadu,2019,2,Salem,302033,1121130
tamil-nadu,2019,2,Nagapattinam,65797,235307
tamil-nadu,2019,2,Tirupathur,96362,392426
tamil-nadu,2019,2,Ariyalur,39587,147113
tamil-nadu,2019,2,Chennai,969955,5191213
tamil-nadu,2019,2,The Nilgiris,50589,237651
tamil-nadu,2019,2,Erode,185565,634853
tamil-nadu,2019,2,Karur,69047,236338
tamil-nadu,2019,2,Kallakkurichi,88699,312180
tamil-nadu,2019,2,Viluppuram,119969,483368
tamil-nadu,2019,2,Pudukkottai,66892,245413
tamil-nadu,2019,2,Perambalur,32787,111749
tamil-nadu,2019,2,Coimbatore,584160,2460549
tamil-nadu,2019,2,Virudhunagar,104054,348430
tamil-nadu,2019,2,Dindigul,131833,509924
tamil-nadu,2019,2,Sivaganga,69744,264125
tamil-nadu,2019,2,Tenkasi,59877,196035
tamil-nadu,2019,2,Chengalpattu,667137,4350196
tamil-nadu,2019,2,Kanniyakumari,106688,357168
tamil-nadu,2019,2,Tirunelveli,102281,349486
tamil-nadu,2019,2,Thiruvallur,733978,3676621
tamil-nadu,2019,2,Theni,71870,254448
tamil-nadu,2019,2,Ranipet,109648,471102
tamil-nadu,2019,2,Namakkal,131560,435958
tamil-nadu,2019,2,Vellore,150242,706719
tamil-nadu,2019,2,Thiruvarur,47988,166776
tamil-nadu,2019,3,Tiruchirappalli,261919,3188576
tamil-nadu,2019,3,Ramanathapuram,68938,742215
tamil-nadu,2019,3,Krishnagiri,290478,4362654
tamil-nadu,2019,3,Cuddalore,187772,1968965
tamil-nadu,2019,3,Kancheepuram,503192,9099325
tamil-nadu,2019,3,Tiruppur,371296,5086753
tamil-nadu,2019,3,Dharmapuri,149491,1988881
tamil-nadu,2019,3,Thoothukkudi,112797,1169932
tamil-nadu,2019,3,Thanjavur,156723,1899755
tamil-nadu,2019,3,Madurai,305793,3683037
tamil-nadu,2019,3,Tiruvannamalai,174910,2027981
tamil-nadu,2019,3,Salem,342259,3940685
tamil-nadu,2019,3,Nagapattinam,75279,792031
tamil-nadu,2019,3,Tirupathur,110825,1372746
tamil-nadu,2019,3,Ariyalur,44894,492736
tamil-nadu,2019,3,Chennai,1090190,18954685
tamil-nadu,2019,3,The Nilgiris,59223,743196
tamil-nadu,2019,3,Erode,210555,2276841
tamil-nadu,2019,3,Karur,78089,822025
tamil-nadu,2019,3,Kallakkurichi,101377,1058365
tamil-nadu,2019,3,Viluppuram,135787,1636429
tamil-nadu,2019,3,Pudukkottai,76291,853544
tamil-nadu,2019,3,Perambalur,37320,386355
tamil-nadu,2019,3,Coimbatore,669547,9707815
tamil-nadu,2019,3,Virudhunagar,118223,1273205
tamil-nadu,2019,3,Dindigul,151511,1791979
tamil-nadu,2019,3,Sivaganga,79695,896599
tamil-nadu,2019,3,Tenkasi,68561,651705
tamil-nadu,2019,3,Chengalpattu,744424,18193512
tamil-nadu,2019,3,Kanniyakumari,125378,1266941
tamil-nadu,2019,3,Tirunelveli,117255,1175307
tamil-nadu,2019,3,Thiruvallur,828137,13735986
tamil-nadu,2019,3,Theni,82211,845240
tamil-nadu,2019,3,Ranipet,123211,1585562
tamil-nadu,2019,3,Namakkal,148504,1602205
tamil-nadu,2019,3,Vellore,171770,2853368
tamil-nadu,2019,3,Thiruvarur,55010,563206
tamil-nadu,2019,4,Tiruchirappalli,299366,4026588
tamil-nadu,2019,4,Ramanathapuram,80027,961831
tamil-nadu,2019,4,Krishnagiri,335178,5693842
tamil-nadu,2019,4,Cuddalore,216583,2459744
tamil-nadu,2019,4,Kancheepuram,564806,11050988
tamil-nadu,2019,4,Tiruppur,427694,6111411
tamil-nadu,2019,4,Dharmapuri,171677,2525020
tamil-nadu,2019,4,Thoothukkudi,131336,1491277
tamil-nadu,2019,4,Thanjavur,181672,2336862
tamil-nadu,2019,4,Madurai,351234,4634811
tamil-nadu,2019,4,Tiruvannamalai,202112,2639455
tamil-nadu,2019,4,Salem,390301,4975680
tamil-nadu,2019,4,Nagapattinam,87998,989769
tamil-nadu,2019,4,Tirupathur,129026,1825987
tamil-nadu,2019,4,Ariyalur,52294,617517
tamil-nadu,2019,4,Chennai,1216610,22828193
tamil-nadu,2019,4,The Nilgiris,69335,970095
tamil-nadu,2019,4,Erode,242324,2893474
tamil-nadu,2019,4,Karur,89726,1036381
tamil-nadu,2019,4,Kallakkurichi,118948,1382861
tamil-nadu,2019,4,Viluppuram,157860,2142547
tamil-nadu,2019,4,Pudukkottai,89251,1061296
tamil-nadu,2019,4,Perambalur,43804,494635
tamil-nadu,2019,4,Coimbatore,767480,12267898
tamil-nadu,2019,4,Virudhunagar,136782,1588707
tamil-nadu,2019,4,Dindigul,177010,2388757
tamil-nadu,2019,4,Sivaganga,92648,1107528
tamil-nadu,2019,4,Tenkasi,79619,824540
tamil-nadu,2019,4,Chengalpattu,829575,22382821
tamil-nadu,2019,4,Kanniyakumari,147268,1703596
tamil-nadu,2019,4,Tirunelveli,136178,1506103
tamil-nadu,2019,4,Thiruvallur,934744,16550582
tamil-nadu,2019,4,Theni,96179,1142433
tamil-nadu,2019,4,Ranipet,141642,2023415
tamil-nadu,2019,4,Namakkal,169515,1979201
tamil-nadu,2019,4,Vellore,198172,3676316
tamil-nadu,2019,4,Thiruvarur,64519,719556
tamil-nadu,2021,1,Tiruchirappalli,527667,8836445
tamil-nadu,2021,1,Ramanathapuram,158933,2470213
tamil-nadu,2021,1,Krishnagiri,592655,18257136
tamil-nadu,2021,1,Cuddalore,401780,6718405
tamil-nadu,2021,1,Kancheepuram,895950,22914978
tamil-nadu,2021,1,Tiruppur,772074,15416834
tamil-nadu,2021,1,Dharmapuri,306834,7786122
tamil-nadu,2021,1,Thoothukkudi,249036,3774093
tamil-nadu,2021,1,Thanjavur,340874,5383102
tamil-nadu,2021,1,Madurai,630685,10792871
tamil-nadu,2021,1,Tiruvannamalai,369304,7105656
tamil-nadu,2021,1,Salem,693137,13212180
tamil-nadu,2021,1,Nagapattinam,172162,2709896
tamil-nadu,2021,1,Tirupathur,242300,5673187
tamil-nadu,2021,1,Ariyalur,101107,1628883
tamil-nadu,2021,1,Chennai,1865001,44025572
tamil-nadu,2021,1,The Nilgiris,132909,2667830
tamil-nadu,2021,1,Erode,449675,7891302
tamil-nadu,2021,1,Karur,168402,2748286
tamil-nadu,2021,1,Kallakkurichi,231208,4214895
tamil-nadu,2021,1,Viluppuram,287910,5813660
tamil-nadu,2021,1,Pudukkottai,178074,2798190
tamil-nadu,2021,1,Perambalur,85113,1379818
tamil-nadu,2021,1,Coimbatore,1304141,28188456
tamil-nadu,2021,1,Virudhunagar,262406,4141001
tamil-nadu,2021,1,Dindigul,334350,6175195
tamil-nadu,2021,1,Sivaganga,181917,3022065
tamil-nadu,2021,1,Tenkasi,155104,2189726
tamil-nadu,2021,1,Chengalpattu,1259678,32721455
tamil-nadu,2021,1,Kanniyakumari,284941,4119075
tamil-nadu,2021,1,Tirunelveli,258947,3981829
tamil-nadu,2021,1,Thiruvallur,1522407,36786664
tamil-nadu,2021,1,Theni,187104,3191924
tamil-nadu,2021,1,Ranipet,248923,5222726
tamil-nadu,2021,1,Namakkal,304004,5067526
tamil-nadu,2021,1,Vellore,346428,7829717
tamil-nadu,2021,1,Thiruvarur,129468,1944801
tamil-nadu,2021,2,Tiruchirappalli,565156,10014470
tamil-nadu,2021,2,Ramanathapuram,170759,5788658
tamil-nadu,2021,2,Krishnagiri,635191,20912278
tamil-nadu,2021,2,Cuddalore,430763,7572362
tamil-nadu,2021,2,Kancheepuram,957182,14405043
tamil-nadu,2021,2,Tiruppur,828168,13987286
tamil-nadu,2021,2,Dharmapuri,329355,11902186
tamil-nadu,2021,2,Thoothukkudi,267294,6425418
tamil-nadu,2021,2,Thanjavur,365299,6514813
tamil-nadu,2021,2,Madurai,675035,10452990
tamil-nadu,2021,2,Tiruvannamalai,396885,11401391
tamil-nadu,2021,2,Salem,742566,14905297
tamil-nadu,2021,2,Nagapattinam,184857,3829274
tamil-nadu,2021,2,Tirupathur,259721,6705794
tamil-nadu,2021,2,Ariyalur,108556,2853636
tamil-nadu,2021,2,Chennai,1988355,23465841
tamil-nadu,2021,2,The Nilgiris,142446,3953366
tamil-nadu,2021,2,Erode,482323,8787572
tamil-nadu,2021,2,Karur,181017,5491006
tamil-nadu,2021,2,Kallakkurichi,248488,6466350
tamil-nadu,2021,2,Viluppuram,309150,7877686
tamil-nadu,2021,2,Pudukkottai,191659,6718305
tamil-nadu,2021,2,Perambalur,91400,2624650
tamil-nadu,2021,2,Coimbatore,1393621,20466115
tamil-nadu,2021,2,Virudhunagar,281847,6465638
tamil-nadu,2021,2,Dindigul,358919,10288708
tamil-nadu,2021,2,Sivaganga,195549,6634652
tamil-nadu,2021,2,Tenkasi,166417,3782378
tamil-nadu,2021,2,Chengalpattu,1344163,20067816
tamil-nadu,2021,2,Kanniyakumari,305185,4065120
tamil-nadu,2021,2,Tirunelveli,277572,5628868
tamil-nadu,2021,2,Thiruvallur,1626966,25866052
tamil-nadu,2021,2,Theni,200555,4717639
tamil-nadu,2021,2,Ranipet,266500,5358940
tamil-nadu,2021,2,Namakkal,326094,6676942
tamil-nadu,2021,2,Vellore,370600,7417717
tamil-nadu,2021,2,Thiruvarur,138929,3476217
tamil-nadu,2021,3,Tiruchirappalli,607438,13013878
tamil-nadu,2021,3,Ramanathapuram,184592,7525400
tamil-nadu,2021,3,Krishnagiri,683549,27316621
tamil-nadu,2021,3,Cuddalore,463831,9827523
tamil-nadu,2021,3,Kancheepuram,1025651,19375692
tamil-nadu,2021,3,Tiruppur,891753,21671965
tamil-nadu,2021,3,Dharmapuri,355076,15339761
tamil-nadu,2021,3,Thoothukkudi,288108,8777581
tamil-nadu,2021,3,Thanjavur,392930,8199685
tamil-nadu,2021,3,Madurai,725021,13827478
tamil-nadu,2021,3,Tiruvannamalai,428728,13794613
tamil-nadu,2021,3,Salem,798213,20472771
tamil-nadu,2021,3,Nagapattinam,199299,4991047
tamil-nadu,2021,3,Tirupathur,279522,8722087
tamil-nadu,2021,3,Ariyalur,117383,3848076
tamil-nadu,2021,3,Chennai,2124347,32604176
tamil-nadu,2021,3,The Nilgiris,153030,5408994
tamil-nadu,2021,3,Erode,519095,12194930
tamil-nadu,2021,3,Karur,195366,7353859
tamil-nadu,2021,3,Kallakkurichi,268553,8113239
tamil-nadu,2021,3,Viluppuram,333349,9367720
tamil-nadu,2021,3,Pudukkottai,207359,8715851
tamil-nadu,2021,3,Perambalur,98707,3559584
tamil-nadu,2021,3,Coimbatore,1494350,29670591
tamil-nadu,2021,3,Virudhunagar,303934,8566821
tamil-nadu,2021,3,Dindigul,386724,14066264
tamil-nadu,2021,3,Sivaganga,211419,8437970
tamil-nadu,2021,3,Tenkasi,179448,5091451
tamil-nadu,2021,3,Chengalpattu,1438295,26216614
tamil-nadu,2021,3,Kanniyakumari,327767,5466962
tamil-nadu,2021,3,Tirunelveli,298663,7647663
tamil-nadu,2021,3,Thiruvallur,1744228,33893931
tamil-nadu,2021,3,Theni,215932,6649668
tamil-nadu,2021,3,Ranipet,286775,6784440
tamil-nadu,2021,3,Namakkal,351110,9186158
tamil-nadu,2021,3,Vellore,397837,9908984
tamil-nadu,2021,3,Thiruvarur,150058,4216686
tamil-nadu,2021,4,Tiruchirappalli,649095,18168700
tamil-nadu,2021,4,Ramanathapuram,197871,5823063
tamil-nadu,2021,4,Krishnagiri,731018,41063180
tamil-nadu,2021,4,Cuddalore,496175,15600629
tamil-nadu,2021,4,Kancheepuram,1094222,38045414
tamil-nadu,2021,4,Tiruppur,954674,38382082
tamil-nadu,2021,4,Dharmapuri,380374,18597625
tamil-nadu,2021,4,Thoothukkudi,308403,8325418
tamil-nadu,2021,4,Thanjavur,419975,11666398
tamil-nadu,2021,4,Madurai,774490,22579696
tamil-nadu,2021,4,Tiruvannamalai,459291,15602060
tamil-nadu,2021,4,Salem,853064,30404374
tamil-nadu,2021,4,Nagapattinam,213351,6048155
tamil-nadu,2021,4,Tirupathur,298708,13267509
tamil-nadu,2021,4,Ariyalur,125914,4097525
tamil-nadu,2021,4,Chennai,2261346,61396354
tamil-nadu,2021,4,The Nilgiris,163376,5738513
tamil-nadu,2021,4,Erode,555089,17688206
tamil-nadu,2021,4,Karur,209536,6652899
tamil-nadu,2021,4,Kallakkurichi,287987,10237398
tamil-nadu,2021,4,Viluppuram,356755,12145153
tamil-nadu,2021,4,Pudukkottai,222558,6954715
tamil-nadu,2021,4,Perambalur,105814,3321994
tamil-nadu,2021,4,Coimbatore,1594082,56676456
tamil-nadu,2021,4,Virudhunagar,325642,9467511
tamil-nadu,2021,4,Dindigul,414158,14851971
tamil-nadu,2021,4,Sivaganga,226759,7264948
tamil-nadu,2021,4,Tenkasi,192159,5242074
tamil-nadu,2021,4,Chengalpattu,1532535,47983778
tamil-nadu,2021,4,Kanniyakumari,350058,8404616
tamil-nadu,2021,4,Tirunelveli,319265,8850319
tamil-nadu,2021,4,Thiruvallur,1860992,64247558
tamil-nadu,2021,4,Theni,231118,7732421
tamil-nadu,2021,4,Ranipet,306295,11305189
tamil-nadu,2021,4,Namakkal,375908,12188362
tamil-nadu,2021,4,Vellore,424585,15475176
tamil-nadu,2021,4,Thiruvarur,160500,4364001
tamil-nadu,2020,1,Tiruchirappalli,339829,4719933
tamil-nadu,2020,1,Ramanathapuram,93243,1175864
